Cód departamento DANE,Departamento de ubicación del predio,Cód municipio DANE,Municipio de ubicación del predio,Municipio pdet,DireccionTerritorial,No. sentencias de ruta individual  proferidas por municipio,No. de solicitudes resueltas en sentencia por municipio en el Registro de Tierras Despojadas y Abandonadas Forzosamente (RTDAF),No. de personas Beneficiadas en sentencia por municipio,Mujeres Beneficiadas en sentencia por municipio,No. de hectáreas con orden de restitución y/o compensación identificadas en sentencia por municipio,No. de familias identificadas en sentencia por municipio,No. de predios con orden de restitución y/o compensación identificados en sentencia por municipio,No. sentencias que incluyen decisión(es) negada(s) por municipio
5.0,ANTIOQUIA,5002.0,ABEJORRAL,NO,1. ANTIOQUIA,12,19,34,17,304.2012,12,20,1
5.0,ANTIOQUIA,5021.0,ALEJANDRIA,NO,1. ANTIOQUIA,2,3,10,4,32.268,2,3,0
5.0,ANTIOQUIA,5031.0,AMALFI,SI,1. ANTIOQUIA,2,2,8,4,0.9054,2,2,0
5.0,ANTIOQUIA,5034.0,ANDES,NO,1. ANTIOQUIA,9,12,22,13,50.1571,7,11,1
5.0,ANTIOQUIA,5036.0,ANGELOPOLIS,NO,1. ANTIOQUIA,4,5,20,9,11.7593,4,5,0
5.0,ANTIOQUIA,5045.0,APARTADO,SI,2. APARTADO,32,53,207,104,279.2809,38,29,5
5.0,ANTIOQUIA,5051.0,ARBOLETES,NO,2. APARTADO,5,6,36,21,139.6835,4,5,1
5.0,ANTIOQUIA,5055.0,ARGELIA,NO,1. ANTIOQUIA,16,21,75,33,132.0895,17,23,0
5.0,ANTIOQUIA,5079.0,BARBOSA,NO,1. ANTIOQUIA,3,5,10,7,12.8876,3,5,0
5.0,ANTIOQUIA,5091.0,BETANIA,NO,1. ANTIOQUIA,12,22,28,17,67.9338,10,17,3
5.0,ANTIOQUIA,5093.0,BETULIA,NO,1. ANTIOQUIA,15,22,67,31,103.7583,13,15,2
5.0,ANTIOQUIA,5101.0,CIUDAD BOLIVAR,NO,1. ANTIOQUIA,3,3,16,7,4.7523,2,2,1
5.0,ANTIOQUIA,5120.0,CACERES,SI,"8,2. CORDOBA",52,94,393,194,2948.4674,90,94,0
5.0,ANTIOQUIA,5138.0,CAÑASGORDAS,NO,1. ANTIOQUIA,2,3,13,7,0.3865,3,3,0
5.0,ANTIOQUIA,5145.0,CARAMANTA,NO,1. ANTIOQUIA,2,2,3,2,7.7199,2,2,0
5.0,ANTIOQUIA,5147.0,CAREPA,SI,2. APARTADO,5,5,17,10,80.175,5,5,0
5.0,ANTIOQUIA,5148.0,EL CARMEN DE VIBORAL,NO,1. ANTIOQUIA,18,22,80,46,464.8533,13,19,2
5.0,ANTIOQUIA,5154.0,CAUCASIA,SI,"8,2. CORDOBA",47,80,252,131,3293.2345,55,62,1
5.0,ANTIOQUIA,5172.0,CHIGORODO,SI,2. APARTADO,24,33,87,48,384.2266,27,31,1
5.0,ANTIOQUIA,5190.0,CISNEROS,NO,1. ANTIOQUIA,1,1,2,1,0.1046,1,1,0
5.0,ANTIOQUIA,5197.0,COCORNA,NO,1. ANTIOQUIA,55,62,221,121,311.3492,52,63,4
5.0,ANTIOQUIA,5206.0,CONCEPCION,NO,1. ANTIOQUIA,3,3,12,5,12.6803,3,3,0
5.0,ANTIOQUIA,5209.0,CONCORDIA,NO,1. ANTIOQUIA,8,8,29,14,48.1349,8,8,0
5.0,ANTIOQUIA,5240.0,EBEJICO,NO,1. ANTIOQUIA,1,1,1,0,10.0585,1,1,0
5.0,ANTIOQUIA,5250.0,EL BAGRE,SI,"8,2. CORDOBA",72,111,333,158,1077.8075,108,111,0
5.0,ANTIOQUIA,5282.0,FREDONIA,NO,1. ANTIOQUIA,1,1,0,0,0.0,0,0,1
5.0,ANTIOQUIA,5284.0,FRONTINO,NO,1. ANTIOQUIA,1,1,1,1,271.997,1,1,0
5.0,ANTIOQUIA,5308.0,GIRARDOTA,NO,1. ANTIOQUIA,5,6,17,9,49.1053,5,7,0
5.0,ANTIOQUIA,5313.0,GRANADA,NO,1. ANTIOQUIA,279,481,1097,563,861.4773,285,387,22
5.0,ANTIOQUIA,5318.0,GUARNE,NO,1. ANTIOQUIA,1,1,2,2,0.0257,1,1,0
5.0,ANTIOQUIA,5321.0,GUATAPE,NO,1. ANTIOQUIA,1,1,0,0,0.0,0,0,1
5.0,ANTIOQUIA,5347.0,HELICONIA,NO,1. ANTIOQUIA,2,3,3,2,17.6121,2,3,0
5.0,ANTIOQUIA,5368.0,JERICO,NO,1. ANTIOQUIA,1,1,4,2,2.5531,1,1,0
5.0,ANTIOQUIA,5376.0,LA CEJA,NO,1. ANTIOQUIA,2,2,8,3,0.6873,2,2,0
5.0,ANTIOQUIA,5380.0,LA ESTRELLA,NO,1. ANTIOQUIA,1,1,0,0,0.0,0,0,1
5.0,ANTIOQUIA,5400.0,LA UNION,NO,1. ANTIOQUIA,7,8,16,9,43.3081,6,8,0
5.0,ANTIOQUIA,5411.0,LIBORINA,NO,1. ANTIOQUIA,1,1,2,1,0.0594,1,1,0
5.0,ANTIOQUIA,5425.0,MACEO,NO,1. ANTIOQUIA,4,5,7,3,567.9538,3,3,1
5.0,ANTIOQUIA,5440.0,MARINILLA,NO,1. ANTIOQUIA,1,1,2,1,1.378,1,1,0
